level_0,index,0,release_year,release_year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2,1,0,index,release_year,Action,Anime Features,Children,Classic Movies,Comedies,Cult Movies,Documentaries,Dramas,Horror Movies,Independent Movies,International Movies,LGBTQ Movies,Music,Romantic Movies,Sci-Fi,Sports Movies,Stand-Up,Thrillers,Uncategorized
52,54,53,52,51,2001,8,0,4,0,11,0,0,7,0,0,0,0,0,0,0,0,1,1,0
53,55,54,53,52,2002,12,0,3,0,3,0,3,14,1,0,1,0,0,0,0,0,1,1,0
54,56,55,54,53,2003,12,0,6,0,10,0,0,8,4,0,0,0,0,0,0,0,0,0,0
55,57,56,55,54,2004,15,0,8,0,10,0,1,10,1,1,3,0,0,0,0,0,0,0,1
56,58,57,56,55,2005,12,0,6,0,18,0,4,15,2,1,1,0,0,0,0,0,1,0,1
57,59,58,57,56,2006,9,0,7,0,24,0,2,17,4,1,2,0,0,0,1,0,4,1,0
58,60,59,58,57,2007,14,0,9,0,18,1,4,22,2,0,0,0,0,0,0,0,1,1,0
59,61,60,59,58,2008,21,0,9,0,30,0,4,27,3,0,3,0,1,0,0,0,3,0,1
60,62,61,60,59,2009,17,0,12,0,32,0,3,22,8,1,3,0,0,0,2,0,2,1,0
61,63,62,61,60,2010,26,0,15,0,31,0,8,41,8,0,2,0,0,0,0,0,3,0,2
62,64,63,62,61,2011,20,1,22,0,30,0,7,26,6,0,2,0,1,0,0,0,5,1,6
63,65,64,63,62,2012,26,0,16,0,47,0,11,37,4,0,3,0,0,0,0,0,12,0,2
64,66,65,64,63,2013,26,1,24,0,44,1,28,54,9,2,3,0,1,0,0,0,9,0,0
65,67,66,65,64,2014,23,0,27,0,58,0,28,61,16,0,10,0,0,0,2,0,10,1,8
66,68,67,66,65,2015,50,1,18,0,73,0,65,127,13,0,7,0,0,0,1,0,16,3,8
67,69,68,67,66,2016,78,3,39,0,110,0,133,184,27,1,17,0,4,0,0,0,34,6,6
68,70,69,68,67,2017,80,4,45,0,131,0,165,190,38,3,12,0,3,1,0,1,57,8,6
69,71,70,69,68,2018,79,4,55,1,135,1,116,199,41,5,12,1,4,2,5,0,58,7,9
70,72,71,70,69,2019,42,4,69,0,106,0,96,148,30,4,23,0,0,0,0,0,47,10,3
71,73,72,71,70,2020,38,1,76,0,71,0,57,89,20,1,9,0,3,0,0,0,41,3,2
72,74,73,72,71,2021,1,0,1,0,2,0,5,2,0,0,0,0,0,0,0,0,1,0,0
